lat,lng,amenity_type,name
51.5331624,-0.0522468,post_box,
51.5328464,-0.0571304,post_box,
51.5519609,-0.0746921,pub,marquis_lansdowne
51.5521034,-0.0748641,cafe,crazy_horse_cafe
51.5507908,-0.0750311,telephone,
51.5510518,-0.0761147,recycling,
51.5509046,-0.0724776,cafe,jacks_cafe
51.5559665,-0.0554539,pharmacy,
51.5545276,-0.0681217,recycling,
51.5531306,-0.0750091,recycling,
51.5462818,-0.0805881,pub,duke_wellington
51.5427477,-0.0812997,post_box,
51.5369436,-0.0767174,telephone,
51.5323061,-0.0770847,telephone,
51.5374912,-0.060948,pub,cat_mutton
51.5367898,-0.061817,post_office,
51.5302103,-0.064495,place_of_worship,peter_thomas
51.5404416,-0.071524,post_box,
51.5509065,-0.0521413,pub,fitzgeralds
51.5570716,-0.0633125,school,scholastics_primary_school
51.5448813,-0.0461289,telephone,
51.5329313,-0.0771168,post_box,
51.5441006,-0.0444715,pub,kenton_arms
51.5453501,-0.0418618,pub,prince_edward
51.5453567,-0.0414221,pub,eagle
51.5461131,-0.0417147,post_box,
51.5469533,-0.0420088,telephone,
51.5467283,-0.0417996,dead_pub,alma
51.5459584,-0.0422067,place_of_worship,homerton_baptist_church
51.5570187,-0.0739332,place_of_worship,pauls_church
51.5469569,-0.0675858,place_of_worship,faith_tabernacle_church_god
51.5378282,-0.0704036,post_box,
51.5384295,-0.0726631,post_box,
51.5385726,-0.0733282,recycling,
51.5384183,-0.0765892,post_box,
51.5362203,-0.0720665,dead_pub,overdraught
51.5379102,-0.0719991,telephone,
51.5381285,-0.0722892,telephone,
51.5407066,-0.0762814,pub,fox
51.5407095,-0.0763707,telephone,
51.5412571,-0.0763826,telephone,
51.5401086,-0.0744743,pub,duke_wellington
51.5407,-0.0738046,telephone,
51.5407734,-0.0735594,recycling,
51.542356,-0.0708342,recycling,
51.5439706,-0.0736416,post_box,
51.5445236,-0.0730929,parking,
51.5457108,-0.069908,pub,victoria
51.5458638,-0.0697833,telephone,
51.5461066,-0.0701352,post_box,
51.5450305,-0.0682069,pub,prince_george
51.5440516,-0.0669169,post_box,
51.5432035,-0.0674404,telephone,
51.5457304,-0.0606991,dead_pub,royal_oak
51.5412199,-0.0592065,toilets,
51.5418835,-0.0583193,recycling,
51.5469007,-0.0649923,place_of_worship,kingdom_hall_jehovahs_witnesses
51.5453735,-0.0632062,pub,spurstowe_arms
51.5459103,-0.0555634,pub,old_ship
51.5445508,-0.0551331,music_venue,ocean
51.539952,-0.056059,pub,dolphin
51.5390179,-0.056278,fuel,texaco
51.543759,-0.0473039,pub,gun
51.5576054,-0.080603,pub,londesborough
51.5576787,-0.078993,post_box,
51.5561645,-0.0789636,post_box,
51.5340961,-0.0560633,restaurant,bistroteque
51.5555288,-0.082625,post_box,
51.5543656,-0.0793316,telephone,
51.5366022,-0.0789765,restaurant,waterhouse
51.5301768,-0.0800915,library,shoreditch_library
51.5328341,-0.0802232,pharmacy,
51.530544,-0.0789771,atm,
51.555738,-0.0414886,place_of_worship,risen_christ_souls
51.5573258,-0.0435806,telephone,
51.5554649,-0.0458658,place_of_worship,clapton_park_methodist_church
51.5550282,-0.045511,recycling,
51.5543714,-0.0451201,telephone,
51.5536547,-0.0448871,telephone,
51.5534286,-0.0447767,telephone,
51.5492593,-0.0425017,recycling,
51.5516512,-0.0412342,place_of_worship,paul
51.5328926,-0.0391362,school,chisenhale_primary_school
51.549925,-0.081545,car_sharing,
51.542732,-0.04873,car_sharing,
51.54041,-0.07066,car_sharing,
51.5406,-0.0545,car_sharing,
51.5485,-0.08,car_sharing,
51.541998,-0.046906,car_sharing,
51.53678,-0.077055,car_sharing,
51.5322,-0.0539,car_sharing,
51.5371,-0.0523,car_sharing,
51.5389351,-0.0588906,car_sharing,
51.5477,-0.0659,car_sharing,
